##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                           #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2003 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
183	19
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	IDX	SBN
Fm	100	0	0	0	Fm	0	0	0	0	Fm	0	0	0	0	0	0	171	26
Md	101	0	0	0	Md	0	0	0	0	Md	0	0	0	0	0	0	172	26
No	102	0	0	0	No	0	0	0	0	No	0	0	0	0	0	0	173	26
Lr	103	0	0	0	Lr	0	0	0	0	Lr	0	0	0	0	0	0	174	26
Rf	104	0	0	0	Rf	0	0	0	0	Rf	0	0	0	0	0	0	175	26
Db	105	0	0	0	Db	0	0	0	0	Db	0	0	0	0	0	0	176	26
Sg	106	0	0	0	Sg	0	0	0	0	Sg	0	0	0	0	0	0	177	26
Bh	107	0	0	0	Bh	0	0	0	0	Bh	0	0	0	0	0	0	178	26
Hs	108	0	0	0	Hs	0	0	0	0	Hs	0	0	0	0	0	0	179	26
Mt	109	0	0	0	Mt	0	0	0	0	Mt	0	0	0	0	0	0	180	26
Ar	18	0	0	0	Ar	0	0	0	0	Ar	0	0	0	0	0	0	181	26
B2	5	0	54	26	B	B	0	B	53	B	26	B2	B_2	20	20	B.0	182	26
B3	5	0	55	27	B	B	0	B	53	B	26	B3	B_3	20	20	B.0	183	26
N	7	0	62	30	N	N	3	N	2	N.	33	N	N	2	1	N.0	184	26
